Year,North East,North West,East Midlands,London,South East,South West
2002,18075,19281,19513,25235,22880,19308
2003,18349,20031,20245,26201,23797,20120
2004,19311,20895,20935,27046,24700,21000
2005,20132,21923,21950,28177,25224,21667
2006,20431,22052,22187,28671,25924,22255
2007,21026,22833,22544,29841,26666,22951
2008,21872,23864,23724,31097,27876,23968
2009,22847,24011,24549,31941,28657,24523
2010,23184,24291,24453,32003,28822,24474
2011,23204,24166,24337,31852,29286,24791
2012,23769,24646,24995,32509,29461,25036
2013,24234,25309,25379,32750,29650,25630
2014,24805,25324,25420,32768,29869,26029
2015,25232,25711,25609,33109,30074,26496
2016,25660,26220,26554,33694,30741,26796
2017,26046,26660,26556,34725,31664,27533
2018,26505,27520,27606,35702,32251,28402
2019,27251,28511,28556,36851,33396,29282
2020,27906,29523,29417,38526,34193,30172
2021,27666,29570,29161,37635,33939,29534
2022,29816,30883,30946,39497,35734,31799
2023,31435,33127,32611,42083,37434,34140
2024,33343,35298,34862,44780,40339,36112
