,Halton,Warrington,Blackburn with Darwen,Blackpool,Burnley,Chorley,Fylde,Hyndburn,Lancaster,Pendle
2002,56000,82500,39000,54000,29950,68000,82950,36000,59000,33000
2003,69000,98000,45000,67000,29950,84000,115000,37500,76000,36000
2004,85000,125000,60000,86950,36000,110064,140000,52000,97500,46000
2005,99000,134000,75000,100000,45000,125000,152500,66000,117000,58300
2006,110000,138000,85000,112000,61000,133000,165000,76000,121000,75000
2007,115000,147000,96000,117500,75000,137900,174950,90000,130000,89950
2008,116000,146000,100000,117000,80000,145000,169500,94000,135000,92000
2009,113000,138000,96500,102000,72500,132750,160000,82500,124950,82500
2010,120000,149995,97000,105000,74700,137488,170000,85000,131000,85000
2011,110000,145000,91500,98000,72000,132623,160000,85000,125000,84500
2012,109725,146000,95000,95000,74000,130000,155000,86000,125000,80000
2013,111125,146000,95000,94000,72000,135000,160000,86250,130000,82500
2014,118500,151500,93500,98500,77000,139725,164000,85000,133000,88000
2015,120000,159950,100000,100000,75000,150000,170748,88200,135000,90000
2016,125000,160225,102500,103000,81000,151750,177250,95000,142500,95000
2017,130000,172500,105000,110000,80000,157000,184500,96000,145000,97250
2018,130000,175000,110000,110000,85000,159000,180000,99000,150000,100000
2019,135000,184000,110000,111000,85000,160000,189475,97000,150000,103000
2020,143000,188000,115000,115000,92000,168500,195000,105000,158000,110000
2021,160000,222700,130000,125000,111000,190000,220000,115000,180000,127500
2022,160000,230000,128000,129000,115000,185000,215000,120725,179000,123000
2023,165000,245000,134000,132500,106500,200000,227000,122000,185000,132000
2024,172750,238000,136250,132000,111250,212000,220000,130000,194950,132500
