Year,Reading,Slough,Windsor and Maidenhead,Wokingham,Milton Keynes,Brighton and Hove,Portsmouth,Southampton,Isle of Wight,Buckinghamshire
2002,136000,124000,210000,189950,105000,141000,95000,105000,100000,167000
2003,155000,144950,240000,214995,127000,163000,118000,126900,125000,193000
2004,160875,160000,249950,227000,145000,176000,131000,140000,146500,214000
2005,170000,171500,268500,240000,151500,190000,138000,147000,155000,225000
2006,177250,176000,275000,245000,158000,199950,140000,152500,167500,236000
2007,199000,189950,307500,272500,174000,230000,152000,162500,175000,249950
2008,202000,197500,320000,270000,175000,237500,155000,165000,180000,265000
2009,180000,175000,295000,249000,155000,210000,139725,147950,165000,248000
2010,192500,183000,320000,267500,168000,235000,150000,162500,175000,267500
2011,190000,190000,325000,275000,168000,240000,148000,161500,170000,272500
2012,195000,192750,322500,279950,174000,240000,150000,160000,172725,275000
2013,205000,202000,333000,282500,180000,248500,150000,159000,170000,277500
2014,222500,217500,365000,316950,190000,270000,162000,167975,177000,297500
2015,249950,247000,410000,350000,216000,292000,169475,175000,180000,323225
2016,283375,287000,455000,395500,236000,320000,183000,190000,190000,350000
2017,300000,318000,477500,407500,255000,345000,199000,205000,200000,380000
2018,302500,319850,465000,410000,260000,345000,210000,217000,203000,385000
2019,300000,326500,469000,400000,262000,356500,210000,216500,210000,387000
2020,300000,325000,495000,410000,270000,360000,218000,220000,220000,397500
2021,320000,350000,520000,445000,305000,405000,237000,233500,255000,435000
2022,330000,355000,525000,470000,308000,410000,250000,249950,252375,450000
2023,350000,380000,530000,485000,320000,421540,260000,252500,267400,450000
2024,340000,390000,512000,475000,315000,417500,254440,250000,255000,450000
