Year,Derby,Leicester,Rutland,Nottingham,Amber Valley,Bolsover,Chesterfield,Derbyshire Dales,Erewash,High Peak
2002,20786,16186,19332,17611,19103,16327,18957,24000,19345,21926
2003,21453,17350,23227,17873,19766,17568,20076,22506,19378,21682
2004,22081,17720,21095,19142,20574,19632,20279,23784,21284,22081
2005,23769,18900,21586,20403,22899,19643,22231,25453,21692,22771
2006,23350,19130,21998,21025,22450,20969,22105,23812,22048,23395
2007,21372,20232,23975,21793,21961,23017,21893,25822,22968,22424
2008,24793,20091,24977,20419,24291,21816,23413,28512,24048,24412
2009,26529,20845,26339,22681,23965,23654,23309,29333,25457,26110
2010,26413,20932,25061,22098,24685,23548,23879,29491,23813,25850
2011,26274,21323,25925,23000,24719,21716,24226,28501,24368,25949
2012,27211,20777,24336,22645,25259,25786,23890,28035,26100,26210
2013,26481,21785,24793,22308,25349,23216,24340,28369,27475,26713
2014,27442,22135,25416,22016,25660,23757,24163,28688,26283,26728
2015,28279,21417,28591,22580,26694,22512,25731,26804,26232,25497
2016,28376,21996,27953,23360,27832,24659,25775,31058,26940,25429
2017,28633,21830,28814,23493,30031,23587,25843,31356,26863,28654
2018,31954,22189,27880,23293,29696,24912,26008,30906,27622,28246
2019,30365,23748,30175,25078,29602,25781,26551,31887,29222,27581
2020,31465,24711,32489,25216,33614,27576,27590,35011,29529,29357
2021,30715,25266,32620,25050,31389,26409,26705,28284,29980,28680
2022,30742,27646,33254,27016,30538,27327,30621,33747,32171,29989
2023,33312,28547,36161,28495,32645,26174,29819,36796,33692,34009
2024,35063,29839,40227,29983,35771,31851,32234,39979,35331,34215
