,Hartlepool,Middlesbrough,Redcar and Cleveland,Stockton-on-Tees,Darlington,Newcastle upon Tyne,North Tyneside,South Tyneside,Sunderland,Gateshead
2002,18535,16807,19781,19493,17265,19045,17389,18866,16779,17827
2003,18192,17345,17688,19866,17479,19610,17915,19880,17181,17405
2004,19536,17357,19929,22007,18564,20453,19670,18541,17940,18474
2005,20986,18418,21391,23066,18670,21010,20057,19318,19089,20054
2006,20797,19157,20324,22423,19183,21403,20255,20370,19626,18963
2007,21613,20006,22268,23569,22185,21109,20529,20557,20541,19986
2008,23392,21831,21017,24315,20933,22255,22030,21664,20783,20933
2009,25095,21264,23111,25072,21965,22562,23781,23479,21555,22158
2010,23663,21260,21529,24472,22944,22289,24061,23242,22350,23091
2011,24286,20572,23607,25240,23261,22030,24017,22760,22321,23000
2012,25757,22724,22154,24677,23206,23331,23887,23231,22642,24458
2013,24198,21708,24344,26595,22461,24287,24185,23792,23708,24594
2014,24957,22742,24976,26154,26231,25343,24480,23925,24165,25078
2015,26208,24565,25023,26607,25299,26425,25757,24471,24655,24974
2016,25970,24966,24403,27752,27514,26577,26092,23744,25171,25049
2017,25525,24141,25390,26538,27797,26691,27855,25301,24914,25802
2018,26929,25434,24973,26889,26445,26928,28726,24979,25649,25985
2019,26523,26044,25836,29477,27703,28024,29525,25930,25456,26504
2020,28653,26645,26675,29450,27039,29050,29523,26529,26626,26476
2021,27714,26337,24811,28434,30435,30297,29027,27445,24948,26996
2022,31479,28917,29269,30227,29146,30993,31783,29581,27514,29678
2023,31852,29048,30341,32693,30883,32624,32653,30063,29290,31769
2024,31584,32284,30595,34250,33141,34841,36807,33172,32723,32585
