,Reading,Slough,Windsor and Maidenhead,Wokingham,Milton Keynes,Brighton and Hove,Portsmouth,Southampton,Isle of Wight,Buckinghamshire
2002,23639,20452,28769,29542,21029,22355,19681,19159,17457,26002
2003,25306,20135,31054,29264,22837,22081,21148,20324,20064,26001
2004,25672,22229,31528,28964,24222,23872,20349,21820,19262,27007
2005,25262,22719,33083,32112,23527,23539,21813,21895,21105,27058
2006,24747,23405,34686,33260,23966,24317,21788,22042,21604,27821
2007,27280,24577,33632,33379,25505,26032,21595,22182,22630,28556
2008,29350,25380,34918,35054,26140,27869,22271,22067,24557,30492
2009,30525,26605,35987,33753,26117,27765,25081,22527,23844,32226
2010,29601,26408,34779,35748,26643,27693,25448,23416,22297,31815
2011,28354,26780,37451,36456,28299,28019,24299,23743,23886,33045
2012,31539,27635,38927,36499,28134,28107,24781,24301,24954,32260
2013,32162,28134,37812,37035,29937,28146,24560,24681,24044,31446
2014,31559,27330,37977,35754,28915,29059,26269,24907,25830,31700
2015,29177,28384,37178,37486,27703,28293,26528,25731,25453,32343
2016,31237,28276,37818,38595,29118,30348,25861,26448,25278,32663
2017,32234,28651,38986,36867,31436,30250,26655,27430,26137,34616
2018,33270,31338,39046,40392,30162,30061,27402,26472,25489,35135
2019,32812,31990,40797,37898,32270,31988,28569,28665,26168,35340
2020,33032,32717,41320,38261,33256,33848,27197,29926,28498,36349
2021,36417,34399,38730,38927,33967,32710,29215,30929,27418,35302
2022,36378,35572,39931,43183,36049,34037,32343,33048,28912,38862
2023,36544,35549,41489,45832,36905,34723,32638,33157,29323,39505
2024,40988,38846,46155,45702,40125,38556,35060,34552,33596,43318
